,tempos[s],u_1,u_2,u_3,u_4,u_5,u_bar,u_prime_1,u_prime_2,u_prime_3,u_prime_4,u_prime_5
0,0.0,11.9601,5.5676,5.9736,8.5431,5.4421,6.247750000000001,-5.71235,0.6801500000000011,0.27415000000000056,-2.29535,0.8056500000000009
1,0.0002,11.8517,5.7468,5.917,8.7441,3.4194,5.946533333333334,-5.905166666666665,0.19973333333333354,0.029533333333334078,-2.7975666666666656,2.527133333333334
2,0.0004,11.2753,6.2391,5.4163,7.6413,3.6119,5.697383333333334,-5.577916666666666,-0.541716666666666,0.281083333333334,-1.9439166666666665,2.085483333333334
3,0.0006,11.952,5.8591,5.873,8.0182,4.8614,6.09405,-5.85795,0.23495000000000044,0.22104999999999997,-1.92415,1.2326500000000005
4,0.0008,11.867,5.9345,5.9233,7.4229,4.2451,5.898933333333335,-5.968066666666666,-0.03556666666666519,-0.024366666666665537,-1.5239666666666656,1.6538333333333348
5,0.001,11.2807,6.8417,6.7843,7.1982,6.5448,6.441783333333333,-4.838916666666666,-0.3999166666666669,-0.3425166666666666,-0.7564166666666665,-0.10301666666666698
6,0.0012,11.9242,7.2429,7.6214,7.1191,6.3575,6.711050000000001,-5.21315,-0.5318499999999986,-0.9103499999999993,-0.40804999999999936,0.35355000000000114
7,0.0014,11.9111,6.8155,9.8845,6.3432,5.1241,6.679966666666666,-5.231133333333333,-0.13553333333333395,-3.204533333333333,0.33676666666666577,1.5558666666666658
8,0.0016,11.2753,4.8875,11.859,6.7843,4.4398,6.541250000000001,-4.734049999999999,1.6537500000000005,-5.317749999999999,-0.24304999999999932,2.1014500000000007
9,0.0018,11.8854,4.2053,10.0066,7.1718,3.1217,6.065433333333332,-5.8199666666666685,1.8601333333333319,-3.9411666666666685,-1.106366666666668,2.943733333333332
10,0.002,11.9242,4.1525,10.3214,7.3964,3.2039,6.166733333333333,-5.757466666666668,2.0142333333333333,-4.154666666666667,-1.2296666666666667,2.962833333333333
11,0.0022,11.2753,4.5976,9.5738,7.9257,3.6745,6.17485,-5.1004499999999995,1.5772500000000003,-3.39895,-1.7508499999999998,2.50035
