,tempos[s],u_1,u_2,u_3,u_4,u_5,u_bar,u_prime_1,u_prime_2,u_prime_3,u_prime_4,u_prime_5
0,0.0,1.7336,0.8905,0.8424,1.0117,1.0538,0.922,-0.8116,0.031500000000000083,0.0796,-0.0897,-0.13180000000000003
1,0.0002,1.7225,0.8868,0.8432,1.0175,1.0538,0.9206666666666666,-0.8018333333333333,0.0338666666666666,0.07746666666666668,-0.09683333333333344,-0.13313333333333344
2,0.0004,1.7336,0.8824,0.8424,1.024,1.0526,0.9225666666666666,-0.8110333333333334,0.040166666666666684,0.08016666666666661,-0.10143333333333338,-0.13003333333333333
3,0.0006,1.7291,0.8801,0.8424,1.0329,1.052,0.9228500000000001,-0.80625,0.042750000000000066,0.08045000000000002,-0.11004999999999987,-0.12915
4,0.0008,1.7336,0.8748,0.8432,1.0353,1.0501,0.9229666666666668,-0.8106333333333332,0.0481666666666668,0.07976666666666687,-0.11233333333333329,-0.1271333333333332
5,0.001,1.7403,0.8725,0.845,1.0401,1.0495,0.9247333333333333,-0.8155666666666667,0.05223333333333324,0.07973333333333332,-0.11536666666666673,-0.1247666666666668
6,0.0012,1.7247,0.8678,0.8424,1.0431,1.0482,0.9212333333333333,-0.8034666666666666,0.05343333333333333,0.07883333333333331,-0.12186666666666657,-0.12696666666666667
7,0.0014,1.7358,0.8654,0.8424,1.0437,1.0482,0.9228166666666665,-0.8129833333333335,0.05741666666666656,0.08041666666666647,-0.12088333333333356,-0.1253833333333335
8,0.0016,1.7247,0.8638,0.8432,1.0419,1.0464,0.9202666666666667,-0.8044333333333332,0.056466666666666665,0.07706666666666673,-0.12163333333333337,-0.12613333333333332
9,0.0018,1.7313,0.8614,0.8424,1.0371,1.0476,0.9202666666666667,-0.8110333333333334,0.05886666666666662,0.07786666666666664,-0.11683333333333323,-0.1273333333333334
10,0.002,1.7291,0.8573,0.8432,1.0359,1.047,0.9190833333333334,-0.8100166666666667,0.06178333333333341,0.07588333333333341,-0.11681666666666668,-0.12791666666666657
11,0.0022,1.7313,0.8549,0.8424,1.0317,1.0445,0.9178333333333334,-0.8134666666666667,0.0629333333333334,0.07543333333333335,-0.11386666666666667,-0.1266666666666666
12,0.0024,1.7313,0.8532,0.8406,1.0293,1.0403,0.9161833333333335,-0.8151166666666666,0.0629833333333335,0.07558333333333345,-0.11311666666666664,-0.12411666666666654
13,0.0026,1.7269,0.8507,0.8467,1.0281,1.0336,0.9147666666666666,-0.8121333333333335,0.0640666666666666,0.06806666666666661,-0.1133333333333334,-0.11883333333333346
14,0.0028,1.738,0.8499,0.8398,1.0287,1.0236,0.9138000000000001,-0.8241999999999999,0.06390000000000007,0.07400000000000007,-0.11489999999999989,-0.10980000000000001
15,0.003,1.7225,0.8448,0.8406,1.0269,1.0154,0.9088666666666665,-0.8136333333333334,0.0640666666666665,0.06826666666666648,-0.11803333333333343,-0.10653333333333359
16,0.0032,1.7358,0.8507,0.8424,1.0269,1.0015,0.9100833333333332,-0.8257166666666668,0.05938333333333323,0.0676833333333332,-0.11681666666666668,-0.09141666666666681
17,0.0034,1.7269,0.8465,0.8406,1.0287,0.9895,0.9059333333333335,-0.8209666666666666,0.05943333333333345,0.06533333333333347,-0.12276666666666647,-0.08356666666666657
